area,population
Bijlmer-Centrum,29625
Bijlmer-Oost,30160
Bos en Lommer,37735
Buitenveldert - Zuidas,29245
Centrum-Oost,46370
Centrum-West,45330
De Aker - Nieuw Sloten,29010
De Baarsjes - Oud-West,72805
De Pijp - Rivierenbuurt,65000
Gaasperdam - Driemond,34290
Geuzenveld - Slotermeer,46015
IJburg - Zeeburgereiland,31720
Noord-Oost,33995
Noord-West,39535
Oostelijk Havengebied - Indische Buurt,42590
Osdorp,41370
Oud-Noord,35230
Oud-Oost,35540
Slotervaart,47000
Watergraafsmeer,37810
Westerpark,39715
Zuid,54665
