day,complaint_type,n
2024-01-01T00:00:00.000,Blocked Driveway,573
2024-01-01T00:00:00.000,Damaged Tree,11
2024-01-01T00:00:00.000,Dead/Dying Tree,3
2024-01-01T00:00:00.000,Dirty Condition,99
2024-01-01T00:00:00.000,HEAT/HOT WATER,850
2024-01-01T00:00:00.000,Illegal Fireworks,144
2024-01-01T00:00:00.000,Illegal Parking,1167
2024-01-01T00:00:00.000,Noise - Residential,1481
2024-01-01T00:00:00.000,Noise - Street/Sidewalk,294
2024-01-01T00:00:00.000,Rodent,78
2024-01-01T00:00:00.000,Street Condition,67
2024-01-02T00:00:00.000,Blocked Driveway,500
2024-01-02T00:00:00.000,Damaged Tree,39
2024-01-02T00:00:00.000,Dead/Dying Tree,9
2024-01-02T00:00:00.000,Dirty Condition,172
2024-01-02T00:00:00.000,HEAT/HOT WATER,1496
2024-01-02T00:00:00.000,Illegal Fireworks,11
2024-01-02T00:00:00.000,Illegal Parking,1410
2024-01-02T00:00:00.000,Noise - Residential,605
2024-01-02T00:00:00.000,Noise - Street/Sidewalk,86
2024-01-02T00:00:00.000,Rodent,112
2024-01-02T00:00:00.000,Snow or Ice,5
2024-01-02T00:00:00.000,Street Condition,198
2024-01-03T00:00:00.000,Blocked Driveway,485
2024-01-03T00:00:00.000,Damaged Tree,39
2024-01-03T00:00:00.000,Dead/Dying Tree,21
2024-01-03T00:00:00.000,Dirty Condition,223
2024-01-03T00:00:00.000,HEAT/HOT WATER,1327
2024-01-03T00:00:00.000,Illegal Fireworks,4
2024-01-03T00:00:00.000,Illegal Parking,1468
2024-01-03T00:00:00.000,Noise - Residential,657
2024-01-03T00:00:00.000,Noise - Street/Sidewalk,90
2024-01-03T00:00:00.000,Rodent,91
2024-01-03T00:00:00.000,Snow or Ice,6
2024-01-03T00:00:00.000,Street Condition,200
2024-01-04T00:00:00.000,Blocked Driveway,509
2024-01-04T00:00:00.000,Damaged Tree,40
2024-01-04T00:00:00.000,Dead/Dying Tree,23
2024-01-04T00:00:00.000,Dirty Condition,201
2024-01-04T00:00:00.000,HEAT/HOT WATER,1495
2024-01-04T00:00:00.000,Illegal Fireworks,15
2024-01-04T00:00:00.000,Illegal Parking,1519
2024-01-04T00:00:00.000,Noise - Residential,562
2024-01-04T00:00:00.000,Noise - Street/Sidewalk,121
2024-01-04T00:00:00.000,Rodent,96
2024-01-04T00:00:00.000,Snow or Ice,3
2024-01-04T00:00:00.000,Street Condition,210
2024-01-05T00:00:00.000,Blocked Driveway,534
2024-01-05T00:00:00.000,Damaged Tree,51
2024-01-05T00:00:00.000,Dead/Dying Tree,16
2024-01-05T00:00:00.000,Dirty Condition,136
2024-01-05T00:00:00.000,HEAT/HOT WATER,1934
2024-01-05T00:00:00.000,Illegal Parking,1497
2024-01-05T00:00:00.000,Noise - Residential,605
2024-01-05T00:00:00.000,Noise - Street/Sidewalk,110
2024-01-05T00:00:00.000,Rodent,84
2024-01-05T00:00:00.000,Snow or Ice,17
2024-01-05T00:00:00.000,Street Condition,146
2024-01-06T00:00:00.000,Blocked Driveway,511
2024-01-06T00:00:00.000,Damaged Tree,19
2024-01-06T00:00:00.000,Dead/Dying Tree,10
2024-01-06T00:00:00.000,Dirty Condition,102
2024-01-06T00:00:00.000,HEAT/HOT WATER,1638
2024-01-06T00:00:00.000,Illegal Fireworks,1
2024-01-06T00:00:00.000,Illegal Parking,1276
2024-01-06T00:00:00.000,Noise - Residential,882
2024-01-06T00:00:00.000,Noise - Street/Sidewalk,115
2024-01-06T00:00:00.000,Rodent,62
2024-01-06T00:00:00.000,Snow or Ice,3
2024-01-06T00:00:00.000,Street Condition,53
2024-01-07T00:00:00.000,Blocked Driveway,448
2024-01-07T00:00:00.000,Damaged Tree,30
2024-01-07T00:00:00.000,Dead/Dying Tree,3
2024-01-07T00:00:00.000,Dirty Condition,81
2024-01-07T00:00:00.000,HEAT/HOT WATER,1286
2024-01-07T00:00:00.000,Illegal Parking,1163
2024-01-07T00:00:00.000,Noise - Residential,873
2024-01-07T00:00:00.000,Noise - Street/Sidewalk,86
2024-01-07T00:00:00.000,Rodent,73
2024-01-07T00:00:00.000,Snow or Ice,14
2024-01-07T00:00:00.000,Street Condition,67
2024-01-08T00:00:00.000,Blocked Driveway,478
2024-01-08T00:00:00.000,Damaged Tree,47
2024-01-08T00:00:00.000,Dead/Dying Tree,20
2024-01-08T00:00:00.000,Dirty Condition,146
2024-01-08T00:00:00.000,HEAT/HOT WATER,1336
2024-01-08T00:00:00.000,Illegal Fireworks,4
2024-01-08T00:00:00.000,Illegal Parking,1530
2024-01-08T00:00:00.000,Noise - Residential,586
2024-01-08T00:00:00.000,Noise - Street/Sidewalk,121
2024-01-08T00:00:00.000,Rodent,127
2024-01-08T00:00:00.000,Snow or Ice,1
2024-01-08T00:00:00.000,Street Condition,160
2024-01-09T00:00:00.000,Blocked Driveway,453
2024-01-09T00:00:00.000,Damaged Tree,86
2024-01-09T00:00:00.000,Dead/Dying Tree,22
2024-01-09T00:00:00.000,Dirty Condition,128
2024-01-09T00:00:00.000,HEAT/HOT WATER,1251
2024-01-09T00:00:00.000,Illegal Fireworks,1
2024-01-09T00:00:00.000,Illegal Parking,1313
2024-01-09T00:00:00.000,Noise - Residential,477
2024-01-09T00:00:00.000,Noise - Street/Sidewalk,58
2024-01-09T00:00:00.000,Rodent,101
2024-01-09T00:00:00.000,Snow or Ice,1
2024-01-09T00:00:00.000,Street Condition,179
2024-01-10T00:00:00.000,Blocked Driveway,514
2024-01-10T00:00:00.000,Damaged Tree,345
2024-01-10T00:00:00.000,Dead/Dying Tree,55
2024-01-10T00:00:00.000,Dirty Condition,139
2024-01-10T00:00:00.000,HEAT/HOT WATER,1118
2024-01-10T00:00:00.000,Illegal Fireworks,2
2024-01-10T00:00:00.000,Illegal Parking,1452
2024-01-10T00:00:00.000,Noise - Residential,508
2024-01-10T00:00:00.000,Noise - Street/Sidewalk,153
2024-01-10T00:00:00.000,Rodent,126
2024-01-10T00:00:00.000,Snow or Ice,1
2024-01-10T00:00:00.000,Street Condition,221
2024-01-11T00:00:00.000,Blocked Driveway,487
2024-01-11T00:00:00.000,Damaged Tree,97
2024-01-11T00:00:00.000,Dead/Dying Tree,23
2024-01-11T00:00:00.000,Dirty Condition,126
2024-01-11T00:00:00.000,HEAT/HOT WATER,1090
2024-01-11T00:00:00.000,Illegal Fireworks,1
2024-01-11T00:00:00.000,Illegal Parking,1662
2024-01-11T00:00:00.000,Noise - Residential,555
2024-01-11T00:00:00.000,Noise - Street/Sidewalk,171
2024-01-11T00:00:00.000,Rodent,111
2024-01-11T00:00:00.000,Street Condition,167
2024-01-12T00:00:00.000,Blocked Driveway,479
2024-01-12T00:00:00.000,Damaged Tree,59
2024-01-12T00:00:00.000,Dead/Dying Tree,28
2024-01-12T00:00:00.000,Dirty Condition,123
2024-01-12T00:00:00.000,HEAT/HOT WATER,947
2024-01-12T00:00:00.000,Illegal Fireworks,2
2024-01-12T00:00:00.000,Illegal Parking,1531
2024-01-12T00:00:00.000,Noise - Residential,640
2024-01-12T00:00:00.000,Noise - Street/Sidewalk,169
2024-01-12T00:00:00.000,Rodent,101
2024-01-12T00:00:00.000,Snow or Ice,1
2024-01-12T00:00:00.000,Street Condition,158
2024-01-13T00:00:00.000,Blocked Driveway,471
2024-01-13T00:00:00.000,Damaged Tree,121
2024-01-13T00:00:00.000,Dead/Dying Tree,11
2024-01-13T00:00:00.000,Dirty Condition,71
2024-01-13T00:00:00.000,HEAT/HOT WATER,946
2024-01-13T00:00:00.000,Illegal Fireworks,2
2024-01-13T00:00:00.000,Illegal Parking,1187
2024-01-13T00:00:00.000,Noise - Residential,843
2024-01-13T00:00:00.000,Noise - Street/Sidewalk,139
2024-01-13T00:00:00.000,Rodent,68
2024-01-13T00:00:00.000,Street Condition,73
2024-01-14T00:00:00.000,Blocked Driveway,489
2024-01-14T00:00:00.000,Damaged Tree,118
2024-01-14T00:00:00.000,Dead/Dying Tree,13
2024-01-14T00:00:00.000,Dirty Condition,110
2024-01-14T00:00:00.000,HEAT/HOT WATER,1708
2024-01-14T00:00:00.000,Illegal Fireworks,1
2024-01-14T00:00:00.000,Illegal Parking,1288
2024-01-14T00:00:00.000,Noise - Residential,902
2024-01-14T00:00:00.000,Noise - Street/Sidewalk,123
2024-01-14T00:00:00.000,Rodent,68
2024-01-14T00:00:00.000,Snow or Ice,15
2024-01-14T00:00:00.000,Street Condition,84
2024-01-15T00:00:00.000,Blocked Driveway,513
2024-01-15T00:00:00.000,Damaged Tree,73
2024-01-15T00:00:00.000,Dead/Dying Tree,15
2024-01-15T00:00:00.000,Dirty Condition,99
2024-01-15T00:00:00.000,HEAT/HOT WATER,2704
2024-01-15T00:00:00.000,Illegal Parking,1133
2024-01-15T00:00:00.000,Noise - Residential,649
2024-01-15T00:00:00.000,Noise - Street/Sidewalk,86
2024-01-15T00:00:00.000,Rodent,112
2024-01-15T00:00:00.000,Snow or Ice,41
2024-01-15T00:00:00.000,Street Condition,110
2024-01-16T00:00:00.000,Blocked Driveway,480
2024-01-16T00:00:00.000,Damaged Tree,60
2024-01-16T00:00:00.000,Dead/Dying Tree,29
2024-01-16T00:00:00.000,Dirty Condition,65
2024-01-16T00:00:00.000,HEAT/HOT WATER,2669
2024-01-16T00:00:00.000,Illegal Parking,870
2024-01-16T00:00:00.000,Noise - Residential,545
2024-01-16T00:00:00.000,Noise - Street/Sidewalk,60
2024-01-16T00:00:00.000,Rodent,81
2024-01-16T00:00:00.000,Snow or Ice,159
2024-01-16T00:00:00.000,Street Condition,164
2024-01-17T00:00:00.000,Blocked Driveway,493
2024-01-17T00:00:00.000,Damaged Tree,45
2024-01-17T00:00:00.000,Dead/Dying Tree,13
2024-01-17T00:00:00.000,Dirty Condition,89
2024-01-17T00:00:00.000,HEAT/HOT WATER,3298
2024-01-17T00:00:00.000,Illegal Parking,1052
2024-01-17T00:00:00.000,Noise - Residential,501
2024-01-17T00:00:00.000,Noise - Street/Sidewalk,43
2024-01-17T00:00:00.000,Rodent,61
2024-01-17T00:00:00.000,Snow or Ice,1266
2024-01-17T00:00:00.000,Street Condition,175
2024-01-18T00:00:00.000,Blocked Driveway,444
2024-01-18T00:00:00.000,Damaged Tree,33
2024-01-18T00:00:00.000,Dead/Dying Tree,6
2024-01-18T00:00:00.000,Dirty Condition,78
2024-01-18T00:00:00.000,HEAT/HOT WATER,3784
2024-01-18T00:00:00.000,Illegal Parking,1300
2024-01-18T00:00:00.000,Noise - Residential,552
2024-01-18T00:00:00.000,Noise - Street/Sidewalk,61
2024-01-18T00:00:00.000,Rodent,80
2024-01-18T00:00:00.000,Snow or Ice,935
2024-01-18T00:00:00.000,Street Condition,180
2024-01-19T00:00:00.000,Blocked Driveway,475
2024-01-19T00:00:00.000,Damaged Tree,42
2024-01-19T00:00:00.000,Dead/Dying Tree,4
2024-01-19T00:00:00.000,Dirty Condition,65
2024-01-19T00:00:00.000,HEAT/HOT WATER,2244
2024-01-19T00:00:00.000,Illegal Fireworks,2
2024-01-19T00:00:00.000,Illegal Parking,1116
2024-01-19T00:00:00.000,Noise - Residential,718
2024-01-19T00:00:00.000,Noise - Street/Sidewalk,76
2024-01-19T00:00:00.000,Rodent,78
2024-01-19T00:00:00.000,Snow or Ice,246
2024-01-19T00:00:00.000,Street Condition,108
2024-01-20T00:00:00.000,Blocked Driveway,418
2024-01-20T00:00:00.000,Damaged Tree,11
2024-01-20T00:00:00.000,Dead/Dying Tree,6
2024-01-20T00:00:00.000,Dirty Condition,43
2024-01-20T00:00:00.000,HEAT/HOT WATER,2901
2024-01-20T00:00:00.000,Illegal Parking,925
2024-01-20T00:00:00.000,Noise - Residential,779
2024-01-20T00:00:00.000,Noise - Street/Sidewalk,80
2024-01-20T00:00:00.000,Rodent,42
2024-01-20T00:00:00.000,Snow or Ice,210
2024-01-20T00:00:00.000,Street Condition,73
2024-01-21T00:00:00.000,Blocked Driveway,426
2024-01-21T00:00:00.000,Damaged Tree,17
2024-01-21T00:00:00.000,Dead/Dying Tree,6
2024-01-21T00:00:00.000,Dirty Condition,61
2024-01-21T00:00:00.000,HEAT/HOT WATER,2993
2024-01-21T00:00:00.000,Illegal Fireworks,2
2024-01-21T00:00:00.000,Illegal Parking,955
2024-01-21T00:00:00.000,Noise - Residential,838
2024-01-21T00:00:00.000,Noise - Street/Sidewalk,88
2024-01-21T00:00:00.000,Rodent,77
2024-01-21T00:00:00.000,Snow or Ice,118
2024-01-21T00:00:00.000,Street Condition,78
2024-01-22T00:00:00.000,Blocked Driveway,485
2024-01-22T00:00:00.000,Damaged Tree,28
2024-01-22T00:00:00.000,Dead/Dying Tree,6
2024-01-22T00:00:00.000,Dirty Condition,106
2024-01-22T00:00:00.000,HEAT/HOT WATER,2218
2024-01-22T00:00:00.000,Illegal Fireworks,1
2024-01-22T00:00:00.000,Illegal Parking,1354
2024-01-22T00:00:00.000,Noise - Residential,642
2024-01-22T00:00:00.000,Noise - Street/Sidewalk,89
2024-01-22T00:00:00.000,Rodent,94
2024-01-22T00:00:00.000,Snow or Ice,154
2024-01-22T00:00:00.000,Street Condition,175
2024-01-23T00:00:00.000,Blocked Driveway,477
2024-01-23T00:00:00.000,Damaged Tree,42
2024-01-23T00:00:00.000,Dead/Dying Tree,8
2024-01-23T00:00:00.000,Dirty Condition,123
2024-01-23T00:00:00.000,HEAT/HOT WATER,1471
2024-01-23T00:00:00.000,Illegal Parking,1368
2024-01-23T00:00:00.000,Noise - Residential,637
2024-01-23T00:00:00.000,Noise - Street/Sidewalk,91
2024-01-23T00:00:00.000,Rodent,88
2024-01-23T00:00:00.000,Snow or Ice,40
2024-01-23T00:00:00.000,Street Condition,217
2024-01-24T00:00:00.000,Blocked Driveway,454
