complaint_type,dow,hour,n
HEAT/HOT WATER,0,0,2226
HEAT/HOT WATER,0,1,1900
HEAT/HOT WATER,0,10,4805
HEAT/HOT WATER,0,11,4611
HEAT/HOT WATER,0,12,4263
HEAT/HOT WATER,0,13,4095
HEAT/HOT WATER,0,14,3790
HEAT/HOT WATER,0,15,3870
HEAT/HOT WATER,0,16,3826
HEAT/HOT WATER,0,17,3690
HEAT/HOT WATER,0,18,3765
HEAT/HOT WATER,0,19,3838
HEAT/HOT WATER,0,2,1396
HEAT/HOT WATER,0,20,3702
HEAT/HOT WATER,0,21,3586
HEAT/HOT WATER,0,22,3173
HEAT/HOT WATER,0,23,2686
HEAT/HOT WATER,0,3,1298
HEAT/HOT WATER,0,4,1222
HEAT/HOT WATER,0,5,1281
HEAT/HOT WATER,0,6,1746
HEAT/HOT WATER,0,7,2777
HEAT/HOT WATER,0,8,3842
HEAT/HOT WATER,0,9,4703
HEAT/HOT WATER,1,0,2362
HEAT/HOT WATER,1,1,1580
HEAT/HOT WATER,1,10,5198
HEAT/HOT WATER,1,11,5048
HEAT/HOT WATER,1,12,4585
HEAT/HOT WATER,1,13,4213
HEAT/HOT WATER,1,14,4349
HEAT/HOT WATER,1,15,4367
HEAT/HOT WATER,1,16,4638
HEAT/HOT WATER,1,17,4771
HEAT/HOT WATER,1,18,4845
HEAT/HOT WATER,1,19,5198
HEAT/HOT WATER,1,2,1242
HEAT/HOT WATER,1,20,5302
HEAT/HOT WATER,1,21,4946
HEAT/HOT WATER,1,22,4066
HEAT/HOT WATER,1,23,3463
HEAT/HOT WATER,1,3,1170
HEAT/HOT WATER,1,4,1299
HEAT/HOT WATER,1,5,1787
HEAT/HOT WATER,1,6,2921
HEAT/HOT WATER,1,7,4596
HEAT/HOT WATER,1,8,4750
HEAT/HOT WATER,1,9,5349
HEAT/HOT WATER,2,0,2336
HEAT/HOT WATER,2,1,1703
HEAT/HOT WATER,2,10,5495
HEAT/HOT WATER,2,11,5027
HEAT/HOT WATER,2,12,4608
HEAT/HOT WATER,2,13,4267
HEAT/HOT WATER,2,14,4137
HEAT/HOT WATER,2,15,4357
HEAT/HOT WATER,2,16,4550
HEAT/HOT WATER,2,17,4361
HEAT/HOT WATER,2,18,4679
HEAT/HOT WATER,2,19,4728
HEAT/HOT WATER,2,2,1336
HEAT/HOT WATER,2,20,5044
HEAT/HOT WATER,2,21,4652
HEAT/HOT WATER,2,22,3767
HEAT/HOT WATER,2,23,3189
HEAT/HOT WATER,2,3,1229
HEAT/HOT WATER,2,4,1509
HEAT/HOT WATER,2,5,2057
HEAT/HOT WATER,2,6,3148
HEAT/HOT WATER,2,7,4873
HEAT/HOT WATER,2,8,5202
HEAT/HOT WATER,2,9,5457
HEAT/HOT WATER,3,0,2336
HEAT/HOT WATER,3,1,1540
HEAT/HOT WATER,3,10,4779
HEAT/HOT WATER,3,11,4365
HEAT/HOT WATER,3,12,4052
HEAT/HOT WATER,3,13,3702
HEAT/HOT WATER,3,14,3708
HEAT/HOT WATER,3,15,3817
HEAT/HOT WATER,3,16,4206
HEAT/HOT WATER,3,17,4125
HEAT/HOT WATER,3,18,4527
HEAT/HOT WATER,3,19,4577
HEAT/HOT WATER,3,2,1150
HEAT/HOT WATER,3,20,4760
HEAT/HOT WATER,3,21,4492
