complaint_type,n
Illegal Parking,1082985
Noise - Residential,842645
HEAT/HOT WATER,580696
Blocked Driveway,342915
Noise - Street/Sidewalk,336050
UNSANITARY CONDITION,238598
Water System,143307
Street Condition,141489
Abandoned Vehicle,138229
PLUMBING,135450
Noise - Commercial,132305
PAINT/PLASTER,123622
Dirty Condition,120165
Noise,111257
Derelict Vehicles,92418
Noise - Vehicle,92057
DOOR/WINDOW,91819
Traffic Signal Condition,91038
Encampment,90914
WATER LEAK,83566
Illegal Dumping,77851
Homeless Person Assistance,76737
Missed Collection,75913
General Construction/Plumbing,72117
Rodent,71038
GENERAL,64984
Street Light Condition,64716
Damaged Tree,61810
ELECTRIC,58716
Vendor Enforcement,55092
FLOORING/STAIRS,54403
Sewer,52390
Drug Activity,51259
Sidewalk Condition,50964
Maintenance or Facility,50289
Noise - Helicopter,49240
Non-Emergency Police Matter,48439
APPLIANCE,45070
Lead,44159
Elevator,42288
Graffiti,42108
Building/Use,41707
Overgrown Tree/Branches,41237
For Hire Vehicle Complaint,41052
Obstruction,40007
Consumer Complaint,38254
Residential Disposal Complaint,28397
SAFETY,25972
Food Establishment,25502
Panhandling,24616
Illegal Fireworks,22881
Traffic,22685
Snow or Ice,21911
New Tree Request,21795
Root/Sewer/Sidewalk Condition,20984
Dead Animal,20691
Dead/Dying Tree,20475
Animal-Abuse,20184
Air Quality,19069
Noise - Park,18360
Indoor Air Quality,16942
Taxi Complaint,16425
Street Sweeping Complaint,15651
Curb Condition,15111
Lost Property,12839
Mobile Food Vendor,12011
Real Time Enforcement,11819
Animal in a Park,10976
Illegal Tree Damage,10512
Outdoor Dining,10122
Street Sign - Damaged,10028
Smoking or Vaping,9864
Illegal Posting,9860
Drinking,9337
Violation of Park Rules,8829
Special Projects Inspection Team (SPIT),8388
Water Conservation,7826
Litter Basket Request,7784
Highway Condition,7307
Street Sign - Dangling,7282
Boilers,6799
Street Sign - Missing,6755
Emergency Response Team (ERT),6621
Plumbing,6255
Food Poisoning,6248
Bike/Roller/Skate Chronic,5997
Sanitation Worker or Vehicle Complaint,5880
Broken Parking Meter,5661
Unsanitary Animal Pvt Property,5006
Commercial Disposal Complaint,4992
Abandoned Bike,4616
Electrical,4478
Noise - House of Worship,4361
Hazardous Materials,4201
Dumpster Complaint,3755
School Maintenance,3488
Lot Condition,3391
ELEVATOR,3323
Unleashed Dog,3320
Unsanitary Pigeon Condition,3202
Day Care,3148
Asbestos,2950
Litter Basket Complaint,2738
Standing Water,2714
Construction Lead Dust,2667
Water Quality,2605
Urinating in Public,2596
Bus Stop Shelter Complaint,2309
OUTSIDE BUILDING,2212
Construction Safety Enforcement,2111
Non-Residential Heat,2037
Wood Pile Remaining,1792
Industrial Waste,1724
Taxi Report,1471
Investigations and Discipline (IAD),1438
E-Scooter,1301
Illegal Animal Kept as Pet,1235
Cannabis Retailer,1111
Harboring Bees/Wasps,1034
Disorderly Youth,1032
Indoor Sewage,1016
Smoking,970
For Hire Vehicle Report,942
BEST/Site Safety,941
Mold,779
Green Taxi Complaint,775
Mosquitoes,771
Bike Rack,758
Drinking Water,723
Ferry Inquiry,698
Bridge Condition,606
Uprooted Stump,562
Bus Stop Shelter Placement,457
Plant,451
Beach/Pool/Sauna Complaint,443
Tattooing,405
LinkNYC,361
Ferry Complaint,355
Scaffold Safety,322
Illegal Animal Sold,281
Posting Advertisement,274
Poison Ivy,274
Pet Shop,230
Highway Sign - Damaged,211
Recycling Basket Complaint,207
DEP Street Condition,202
Taxi Compliment,199
Pet Sale,189
Animal Facility - No Permit,184
Found Property,166
Cranes and Derricks,163
Bench,160
Unsanitary Animal Facility,149
Bike Rack Condition,143
Seasonal Collection,140
Special Operations,132
Bike/Roller/Skate,132
Tobacco or Non-Tobacco Sale,123
Building Drinking Water Tank,113
Municipal Parking Facility,101
Institution Disposal Complaint,100
Highway Sign - Missing,100
Green Taxi Report,93
AHV Inspection Unit,86
Incorrect Data,86
Special Natural Area District (SNAD),86
Public Toilet,84
Lifeguard,69
Borough Office,61
Dept of Investigations,56
Cooling Tower,44
Unspecified,42
Highway Sign - Dangling,36
Window Guard,33
Wayfinding,33
Radioactive Material,27
Dispatched Taxi Complaint,22
Calorie Labeling,22
Squeegee,22
Adopt-A-Basket,20
Taxi Licensee Complaint,19
SNW,17
Oil or Gas Spill,17
X-Ray Machine/Equipment,14
Transfer Station Complaint,13
Retailer Complaint,11
FHV Licensee Complaint,11
Public Payphone Complaint,10
Tunnel Condition,10
Leaning Bar,9
Building Condition,9
DEP Highway Condition,8
Tanning,7
Building Marshal's Office,6
DEP Sidewalk Condition,5
Peeling Paint,2
Executive Inspections,2
Building Marshals office,2
DSNY Internal,2
ASBESTOS,1
Facade Insp Safety Pgm,1
Sustainability Enforcement,1
Stalled Sites,1
