u,v,line,operator,kind,km
あざみ野_0,たまプラーザ_0,田園都市線,東急電鉄,rail,1.136
あざみ野_0,江田_0,田園都市線,東急電鉄,rail,1.162
あざみ野_0,中川_0,3号線,横浜市,rail,1.531
いずみ中央_0,ゆめが丘_0,相鉄いずみ野線,相模鉄道,rail,1.172
いずみ中央_0,いずみ野_0,相鉄いずみ野線,相模鉄道,rail,2.194
いずみ野_0,弥生台_0,相鉄いずみ野線,相模鉄道,rail,1.073
おゆみ野_0,ちはら台_0,千原線,京成電鉄,rail,2.058
おゆみ野_0,学園前_0,千原線,京成電鉄,rail,1.582
お台場海浜公園_0,台場_0,東京臨海新交通臨海線,ゆりかもめ,rail,0.781
お台場海浜公園_0,芝浦ふ頭_0,東京臨海新交通臨海線,ゆりかもめ,rail,2.323
お花茶屋_0,青砥_0,本線,京成電鉄,rail,1.614
お花茶屋_0,堀切菖蒲園_0,本線,京成電鉄,rail,1.119
かしわ台_0,海老名_0,相鉄本線,相模鉄道,rail,2.724
かしわ台_0,さがみ野_0,相鉄本線,相模鉄道,rail,1.345
くぬぎ山_0,元山_0,松戸線,京成電鉄,rail,0.953
くぬぎ山_0,北初富_0,松戸線,京成電鉄,rail,1.677
こどもの国_0,恩田_0,こどもの国線,東急電鉄,rail,1.502
さいたま新都心_0,与野_0,東北線,東日本旅客鉄道,rail,1.123
さがみ野_0,相模大塚_0,相鉄本線,相模鉄道,rail,1.108
すずかけ台_0,つくし野_0,田園都市線,東急電鉄,rail,1.139
すずかけ台_0,南町田グランベリーパーク_0,田園都市線,東急電鉄,rail,1.248
せんげん台_0,大袋_0,伊勢崎線,東武鉄道,rail,1.295
せんげん台_0,武里_0,伊勢崎線,東武鉄道,rail,1.498
たまプラーザ_0,鷺沼_0,田園都市線,東急電鉄,rail,1.381
つきみ野_0,南町田グランベリーパーク_0,田園都市線,東急電鉄,rail,1.07
つきみ野_0,中央林間_0,田園都市線,東急電鉄,rail,1.276
つくし野_0,長津田_0,田園都市線,東急電鉄,rail,1.175
つつじヶ丘_0,柴崎_0,京王線,京王電鉄,rail,0.894
つつじヶ丘_0,仙川_0,京王線,京王電鉄,rail,1.032
とうきょうスカイツリー_0,浅草_0,伊勢崎線,東武鉄道,rail,1.101
とうきょうスカイツリー_0,押上_0,伊勢崎線,東武鉄道,rail,0.305
ときわ台_0,上板橋_0,東上本線,東武鉄道,rail,1.252
ときわ台_0,中板橋_0,東上本線,東武鉄道,rail,0.588
はるひ野_0,黒川_0,多摩線,小田急電鉄,rail,0.783
はるひ野_0,小田急永山_0,多摩線,小田急電鉄,rail,2.037
ひばりヶ丘_0,保谷_0,池袋線,西武鉄道,rail,2.133
ひばりヶ丘_0,東久留米_0,池袋線,西武鉄道,rail,1.504
ふじみ野_0,鶴瀬_0,東上本線,東武鉄道,rail,2.251
ふじみ野_0,上福岡_0,東上本線,東武鉄道,rail,1.774
みずほ台_0,柳瀬川_0,東上本線,東武鉄道,rail,1.353
みずほ台_0,鶴瀬_0,東上本線,東武鉄道,rail,1.312
みつわ台_0,都賀_0,2号線,千葉都市モノレール,rail,1.532
みつわ台_0,動物公園_0,2号線,千葉都市モノレール,rail,0.976
みどり台_0,京成稲毛_0,千葉線,京成電鉄,rail,1.763
みどり台_0,西登戸_0,千葉線,京成電鉄,rail,0.988
みなとみらい_0,新高島_0,みなとみらい21線,横浜高速鉄道,rail,0.778
みなとみらい_0,馬車道_0,みなとみらい21線,横浜高速鉄道,rail,0.992
みのり台_0,松戸新田_0,松戸線,京成電鉄,rail,0.601
みのり台_0,八柱_0,松戸線,京成電鉄,rail,0.849
みらい平_0,守谷_0,常磐新線,首都圏新都市鉄道,rail,6.599
めじろ台_0,狭間_0,高尾線,京王電鉄,rail,1.406
めじろ台_0,山田_0,高尾線,京王電鉄,rail,1.137
ゆめが丘_0,湘南台_0,相鉄いずみ野線,相模鉄道,rail,1.945
ゆめが丘_0,下飯田_0,(walk),(walk),transfer,0.256
ゆめみ野_0,新取手_0,常総線,関東鉄道,rail,0.73
ゆめみ野_0,稲戸井_0,常総線,関東鉄道,rail,1.263
スポーツセンター_0,動物公園_0,2号線,千葉都市モノレール,rail,1.145
スポーツセンター_0,穴川_0,2号線,千葉都市モノレール,rail,0.588
センター北_0,中川_0,3号線,横浜市,rail,1.531
センター北_0,センター南_0,4号線,横浜市,rail,0.931
センター北_0,北山田_0,4号線,横浜市,rail,1.727
センター南_0,仲町台_0,3号線,横浜市,rail,2.267
センター南_0,都筑ふれあいの丘_0,4号線,横浜市,rail,1.626
テレコムセンター_0,青海_0,東京臨海新交通臨海線,ゆりかもめ,rail,0.973
テレコムセンター_0,東京国際クルーズターミナル_0,東京臨海新交通臨海線,ゆりかもめ,rail,0.862
ベイサイド･ステーション_0,東京ディズニーシー･ステーション_0,ディズニーリゾートライン,舞浜リゾートライン,rail,1.956
ベイサイド･ステーション_0,東京ディズニーランド･ステーション_0,ディズニーリゾートライン,舞浜リゾートライン,rail,1.119
モノレール浜松町_0,天王洲アイル_0,東京モノレール羽田空港線,東京モノレール,rail,3.987
モノレール浜松町_0,浜松町_0,(walk),(walk),transfer,0.055
モノレール浜松町_0,大門_0,(walk),(walk),transfer,0.169
ユーカリが丘_0,京成臼井_0,本線,京成電鉄,rail,2.468
ユーカリが丘_0,志津_0,本線,京成電鉄,rail,1.145
ユーカリが丘_0,地区センター_0,ユーカリが丘線,山万,rail,0.484
リゾートゲートウェイ･ステーション_0,東京ディズニーランド･ステーション_0,ディズニーリゾートライン,舞浜リゾートライン,rail,0.618
リゾートゲートウェイ･ステーション_0,東京ディズニーシー･ステーション_0,ディズニーリゾートライン,舞浜リゾートライン,rail,1.305
リゾートゲートウェイ･ステーション_0,舞浜_0,(walk),(walk),transfer,0.161
一ノ割_0,武里_0,伊勢崎線,東武鉄道,rail,1.802
一ノ割_0,春日部_0,伊勢崎線,東武鉄道,rail,2.258
一之江_0,瑞江_0,10号線新宿線,東京都,rail,1.684
一之江_0,船堀_0,10号線新宿線,東京都,rail,1.741
一橋学園_0,国分寺_0,多摩湖線,西武鉄道,rail,2.39
一橋学園_0,青梅街道_0,多摩湖線,西武鉄道,rail,1.063
七光台_0,清水公園_0,野田線,東武鉄道,rail,1.493
七光台_0,川間_0,野田線,東武鉄道,rail,2.161
七里_0,岩槻_0,野田線,東武鉄道,rail,2.915
七里_0,大和田_0,野田線,東武鉄道,rail,1.604
万願寺_0,高幡不動_0,多摩都市モノレール線,多摩都市モノレール,rail,1.278
万願寺_0,甲州街道_0,多摩都市モノレール線,多摩都市モノレール,rail,1.239
三ツ境_0,瀬谷_0,相鉄本線,相模鉄道,rail,1.879
三ツ境_0,希望ヶ丘_0,相鉄本線,相模鉄道,rail,1.317
三ツ沢上町_0,三ツ沢下町_0,3号線,横浜市,rail,0.886
三ツ沢上町_0,片倉町_0,3号線,横浜市,rail,1.926
三ツ沢下町_0,横浜_0,3号線,横浜市,rail,1.453
三ノ輪_0,入谷_0,2号線日比谷線,東京地下鉄,rail,1.143
三ノ輪_0,南千住_0,2号線日比谷線,東京地下鉄,rail,0.824
